directory,ipTM,IPSAE,LIS,iLIS
B5MCJ9,0.56,NA,NA,NA
O00141,0.22,0.0,0.0,0.000000
O00238,0.37,0.011677,0.0782,0.094690
O00311,0.2,0.0,0.0,0.000000
O00418,0.23,0.0,0.0,0.000000
O00444,0.3,0.0,0.0,0.000000
O00506,0.37,0.011191,0.0505,0.064808
O14578,0.24,0.0,0.0,0.000000
O14730,0.14,0.0,0.0,0.000000
O14733,0.19,0.0,0.0,0.000000
O14757,0.17,0.0,0.0,0.000000
O14874,0.29,0.0,0.0,0.000000
O14920,0.2,0.0,0.0,0.000000
O14936,0.21,0.0,0.0,0.000000
O14965,0.21,0.0,0.0,0.000000
O14976,0.26,0.0,0.0,0.000000
O15021,0.44,0.013779,0.0667,0.111187
O15075,0.28,0.0,0.0,0.000000
O15111,0.25,0.0,0.0,0.000000
O15164,0.25,0.0,0.0,0.000000
O15264,0.13,0.0,0.0,0.000000
O15530,0.2,0.0,0.0,0.000000
O43187,0.17,0.0,0.0,0.000000
O43283,0.45,0.01684,0.1146,0.171228
O43293,0.13,0.0,0.0,0.000000
O43318,0.3,0.013273,0.0686,0.151174
O43353,0.18,0.0,0.0,0.000000
O43683,0.28,0.014308,0.1021,0.204167
O43781,0.49,0.324536,0.2008,0.289736
O43930,0.18,0.0,0.0,0.000000
O60229,0.27,0.0,0.0,0.000000
O60285,0.33,0.014504,0.1234,0.137916
O60307,0.34,0.013652,0.0616,0.092708
O60566,0.26,0.0,0.0,0.000000
O60885,0.33,0.0,0.0,0.000000
O75116,0.17,0.0,0.0,0.000000
O75385,0.25,0.0,0.0,0.000000
O75460,0.47,0.024653,0.0855,0.114959
O75582,NA,NA,NA,NA
O75676,NA,NA,NA,NA
O75716,0.33,0.0,0.0,0.000000
O75914,0.39,0.0101,0.0529,0.054861
O75962,0.33,0.0,0.0,0.000000
O76039,0.37,0.0,0.0,0.000000
O94768,0.19,0.0,0.0,0.000000
O94804,0.45,0.051847,0.0775,0.101130
O94806,0.28,0.0,0.0,0.000000
O94921,0.29,0.014034,0.0754,0.107615
O95382,0.34,0.0,0.0083,0.016667
O95747,0.21,0.0,0.0,0.000000
O95819,0.51,0.250993,0.2246,0.313313
O95835,0.36,0.0,0.0,0.000000
O96013,0.36,0.01577,0.0896,0.096222
O96017,0.17,0.0,0.0,0.000000
P00540,0.26,0.01202,0.086,0.123945
P04049,0.32,0.012467,0.0711,0.085038
P05129,0.21,0.0,0.0097,0.015590
P05771,0.27,0.0,0.0,0.000000
P06493,0.12,0.0,0.0,0.000000
P0C1S8,0.19,0.0,0.0,0.000000
P0C263,0.33,0.0,0.0,0.000000
P0C264,0.2,0.0,0.0,0.000000
P10398,0.2,0.0,0.0,0.000000
P11274,0.32,0.0,0.0,0.000000
P11309,0.37,0.010417,0.0494,0.086803
P11801,0.33,0.0,0.0,0.000000
P11802,0.14,0.0,0.0,0.000000
P15056,0.34,0.016252,0.0714,0.125503
P15735,0.27,0.012509,0.0625,0.125755
P16066,0.39,0.012958,0.0995,0.133721
P17252,0.16,0.0,0.0,0.000000
P17612,0.24,0.0,0.0,0.000000
P19525,0.23,0.0,0.0264,0.051370
P19784,0.17,0.0,0.0,0.000000
P20594,0.22,0.0,0.0,0.000000
P20794,0.72,0.632601,0.386,0.454769
P21127,0.6,0.420251,0.2815,0.335742
P21675,0.24,0.0,0.0,0.000000
P22612,0.23,0.0,0.0,0.000000
P22694,0.21,0.0,0.0,0.000000
P23443,0.25,0.0,0.0606,0.082566
P24723,0.15,0.0,0.0,0.000000
P24941,0.17,0.0,0.0,0.000000
P25092,0.22,0.0,0.0278,0.055556
P25098,0.29,0.0,0.0083,0.000000
P25440,0.42,0.046313,0.09,0.103535
P27037,0.19,0.0,0.0,0.000000
P27361,0.39,0.0,0.0068,0.000000
P27448,0.33,0.014308,0.0646,0.094111
P28482,0.25,0.0,0.0,0.000000
P30291,0.31,0.011677,0.0479,0.087500
P31152,0.29,0.013587,0.0851,0.135059
P31749,0.17,0.0,0.0,0.000000
P31751,0.19,0.0,0.0,0.000000
P32298,0.24,0.0,0.0,0.000000
P33981,0.31,0.0,0.0,0.000000
P34947,0.22,0.0,0.0,0.000000
P35626,0.21,0.0,0.0,0.000000
P36507,0.44,0.098074,0.1103,0.156478
P36894,0.29,0.013165,0.0754,0.121162
P36896,0.2,0.0,0.0,0.000000
P36897,0.26,0.0,0.0,0.000000
P37023,0.18,0.0,0.0,0.000000
P37173,0.29,0.012467,0.0448,0.114299
P41279,0.19,0.0,0.0,0.000000
P41743,0.16,0.0,0.0,0.000000
P42345,0.32,0.0,0.0,0.000000
P43250,0.3,0.0,0.0479,0.078727
P45983,0.18,0.0,0.0,0.000000
P45984,0.17,0.0,0.0,0.000000
P45985,0.18,0.0,0.0,0.000000
P46734,0.17,0.0,0.0,0.000000
P48729,0.66,0.376311,0.2622,0.291433
P48730,0.53,0.287238,0.1757,0.232963
P49137,0.18,0.0,0.0,0.000000
P49336,0.34,0.0,0.0264,0.019444
P49674,0.51,0.261942,0.2201,0.248872
P49759,0.19,0.0,0.0,0.000000
P49760,0.19,0.0,0.0,0.000000
P49761,0.27,0.014526,0.1074,0.167580
P49840,0.64,0.674052,0.4696,0.487020
P49841,0.73,0.650647,0.3455,0.332701
P49842,0.52,0.012634,0.0577,0.070292
P50613,0.67,0.434188,0.266,0.284424
P50750,0.27,0.0,0.0,0.000000
P51617,0.25,0.0,0.0,0.000000
P51812,NA,NA,NA,NA
P51817,0.19,0.0,0.0,0.000000
P51841,0.18,0.0,0.0,0.000000
P51955,0.17,0.0,0.0,0.000000
P51956,0.18,0.0,0.0,0.000000
P51957,0.24,0.0,0.0,0.000000
P52564,0.21,0.0,0.0,0.000000
P53004,0.12,0.0,0.0,0.000000
P53350,0.22,0.0,0.0,0.000000
P53355,0.25,0.0,0.0,0.000000
P53667,0.25,0.0,0.0,0.000000
P53671,0.24,0.0,0.0271,0.060093
P53778,0.21,0.0,0.0,0.000000
P53779,0.4,0.018142,0.1612,0.216816
P54646,0.15,0.0,0.0,0.000000
P57058,0.25,0.0,0.0,0.000000
P57059,0.51,0.28742,0.2144,0.314374
P57078,0.35,0.012195,0.0582,0.106014
P68400,0.15,0.0,0.0,0.000000
P78362,0.32,0.0,0.0337,0.042500
P78368,0.53,0.195343,0.1568,0.201458
P78527,NA,NA,NA,NA
P80192,0.37,0.011932,0.0475,0.114018
Q00526,0.22,0.0,0.0,0.000000
Q00532,0.24,0.0,0.0306,0.033424
Q00534,0.14,0.0,0.0,0.000000
Q00535,0.33,0.0,0.0,0.000000
Q00536,0.24,0.0,0.0,0.000000
Q00537,0.26,0.0,0.0,0.000000
Q02156,0.18,0.0,0.0,0.000000
Q02750,0.38,0.012793,0.0591,0.073844
Q02779,0.42,0.015692,0.086,0.120890
Q02846,0.19,0.0,0.0,0.000000
Q04759,0.24,0.015919,0.1364,0.158901
Q04771,0.18,0.0,0.0,0.000000
Q05513,0.17,0.0,0.0,0.000000
Q05655,0.2,0.0,0.0,0.000000
Q05823,0.2,0.0,0.0,0.000000
Q07002,0.24,0.0,0.0,0.000000
Q09013,0.37,0.057889,0.0936,0.146456
Q12851,0.22,0.0,0.0,0.000000
Q12852,0.31,0.01334,0.0493,0.100127
Q12979,0.27,0.0,0.0167,0.033333
Q13043,0.25,0.0,0.0083,0.000000
Q13131,0.17,0.0,0.0,0.000000
Q13153,0.21,0.0,0.0,0.000000
Q13163,0.14,0.0,0.0,0.000000
Q13164,0.19,0.0,0.0,0.000000
Q13177,0.24,0.0,0.0,0.000000
Q13188,0.22,0.0,0.0,0.000000
