directory,ipTM,IPSAE,LIS,iLIS
B5MCJ9,0.23,NA,NA,NA
O00141,0.7,0.709669,0.4746,0.850000
O00311,0.5,0.0101,0.0459,0.780739
O00418,0.48,0.011677,0.0681,0.661290
O00444,0.32,0.0,0.0,0.771661
O00506,0.49,0.0,0.0,0.751584
O14578,0.33,0.0,0.0,0.596276
O14730,0.44,0.0,0.0,0.813172
O14733,0.53,0.0,0.0408,0.815251
O14757,0.56,0.0,0.0118,0.793011
O14874,0.57,0.0,0.0,0.858871
O14920,0.6,0.0,0.0,0.753444
O14936,0.36,0.0,0.0,0.358065
O14965,0.47,0.010734,0.0488,0.761300
O14976,0.32,0.0,0.0,0.696810
O15021,0.37,0.0,0.0167,0.801579
O15075,0.37,0.0,0.0,0.784322
O15111,0.61,0.0,0.0,0.757737
O15164,0.18,0.0,0.0369,0.184957
O15264,0.58,0.0,0.0,0.771505
O15530,0.56,0.0101,0.0425,0.733990
O43293,0.47,0.0,0.0,0.779488
O43683,0.37,0.017095,0.1493,0.789963
O43781,0.53,0.011693,0.058,0.820493
O43930,0.53,0.235624,0.2767,0.778008
O60229,NA,NA,NA,NA
O60285,0.39,0.0,0.0,0.760753
O60307,0.43,0.01334,0.0576,0.802838
O60566,0.14,0.0,0.0,0.083333
O60885,0.19,0.0,0.0,0.248810
O75116,0.35,0.01304,0.094,0.718578
O75385,0.35,0.0,0.0,0.707315
O75460,0.38,0.0,0.0,0.545307
O75582,NA,NA,NA,NA
O75676,NA,NA,NA,NA
O75716,0.58,0.016326,0.175,0.841935
O75914,0.48,0.145556,0.2302,0.745571
O75962,0.32,0.0,0.0,0.633137
O76039,0.36,0.0,0.0,0.827151
O94768,0.52,0.011799,0.1208,0.841702
O94804,0.52,0.0,0.0,0.747529
O94806,0.41,0.0,0.0,0.724731
O94921,0.51,0.0,0.049,0.801813
O95382,0.32,0.0,0.0,0.619579
O95747,0.46,0.140823,0.27,0.780108
O95819,0.31,0.0,0.0,0.677648
O95835,0.4,0.015349,0.1294,0.715000
O96013,0.43,0.018459,0.1651,0.795430
O96017,0.46,0.0,0.0083,0.774347
P00540,0.54,0.015385,0.1206,0.779210
P05129,0.49,0.0,0.0,0.742168
P05771,0.57,0.336151,0.255,0.733333
P06493,0.61,0.23762,0.2545,0.813172
P0C1S8,0.44,0.0,0.0,0.788172
P0C263,0.58,0.0101,0.0601,0.858333
P0C264,0.57,0.0,0.0396,0.852431
P11274,0.24,0.0,0.0,0.335206
P11309,0.6,0.308378,0.2892,0.817300
P11801,0.56,0.417385,0.3233,0.804050
P11802,0.56,0.0,0.0174,0.825000
P15735,0.54,0.133624,0.2412,0.824534
P16066,0.21,0.0,0.0262,0.128938
P17252,0.52,0.120187,0.2058,0.705511
P17612,0.63,0.241984,0.2609,0.809130
P19525,0.44,0.018722,0.0773,0.768829
P19784,0.61,0.092009,0.1207,0.811022
P20594,0.3,0.0,0.0,0.577302
P20794,0.42,0.0,0.0,0.782063
P21127,0.42,0.358961,0.3664,0.780645
P21675,0.2,0.0,0.0,0.133333
