directory,ipTM,IPSAE,LIS,iLIS
B5MCJ9,0.05,NA,NA,0.000000
O00141,0.27,0.015013,0.1228,0.144120
O00311,0.23,0.010734,0.0347,0.073172
O00418,0.28,0.010529,0.0319,0.070566
O00444,0.21,0.012835,0.0717,0.110072
O00506,0.17,0.0,0.0,0.000000
O14578,0.21,0.0,0.0,0.000000
O14730,0.09,0.0,0.0,0.000000
O14733,0.43,0.099475,0.1902,0.219878
O14757,0.25,0.01334,0.0862,0.126611
O14874,0.4,0.021265,0.1738,0.225466
O14920,0.27,0.01645,0.0625,0.144527
O14936,0.28,0.014128,0.058,0.123977
O14965,0.2,0.0,0.0208,0.041667
O14976,0.24,0.0,0.0167,0.000000
O15021,0.33,0.0,0.0187,0.037201
O15075,0.15,0.0,0.0,0.000000
O15111,0.18,0.0,0.0,0.000000
O15164,0.17,0.0,0.0,0.000000
O15264,0.35,0.012467,0.0446,0.089280
O15530,0.29,0.012312,0.0707,0.114122
O43293,0.14,0.0,0.0,0.000000
O43683,0.17,0.0,0.0,0.000000
O43781,0.29,0.013422,0.1023,0.129436
O43930,0.38,0.013135,0.1129,0.139034
O60229,0.24,0.0,0.0,0.000000
O60285,0.24,0.032702,0.24,0.368368
O60307,0.26,0.036546,0.1841,0.231744
O60566,0.15,0.0,0.0,0.000000
O60885,0.23,0.0,0.0729,0.087102
O75116,0.22,0.0,0.0,0.000000
O75385,0.2,0.0,0.0,0.000000
O75460,0.16,0.0,0.0,0.000000
O75582,0.16,0.0,0.0,0.000000
O75676,0.2,0.0,0.0,0.000000
O75716,0.3,0.014654,0.0962,0.099978
O75914,0.16,0.0,0.0,0.000000
O75962,0.26,0.0,0.0,0.000000
O76039,0.19,0.0,0.0,0.000000
O94768,0.19,0.0,0.0,0.000000
O94804,0.19,0.0,0.0,0.000000
O94806,0.22,0.013974,0.1013,0.140671
O94921,0.43,0.194038,0.1902,0.233623
O95382,0.26,0.01143,0.0396,0.099478
O95747,0.19,0.011928,0.086,0.119721
O95819,0.19,0.0,0.0,0.000000
O95835,0.19,0.0,0.0,0.000000
O96013,0.33,0.012931,0.0867,0.113485
O96017,0.45,0.409117,0.3354,0.446678
P00540,0.21,0.011932,0.0703,0.102562
P05129,0.27,0.012195,0.0529,0.115916
P05771,0.24,0.0,0.0458,0.091667
P06493,0.17,0.0,0.0135,0.000000
P0C1S8,0.4,0.184318,0.1671,0.166768
P0C263,0.29,0.012821,0.096,0.097841
P0C264,0.32,0.01904,0.1658,0.227660
P11274,0.26,0.012281,0.0616,0.089854
P11309,0.58,0.208517,0.3222,0.488651
P11801,0.25,0.016423,0.1014,0.103725
P11802,0.29,0.0,0.0354,0.058461
P15735,0.22,0.023121,0.1469,0.233011
P16066,0.18,0.0,0.0,0.000000
P17252,0.3,0.012359,0.042,0.096840
P17612,0.76,0.599354,0.4098,0.484811
P19525,0.11,0.0,0.0,0.000000
P19784,0.4,0.012382,0.0805,0.123508
P20594,0.19,0.0,0.0,0.000000
P20794,0.16,0.0,0.0,0.000000
P21127,0.21,0.010734,0.0598,0.082041
P21675,0.22,0.0,0.0,0.000000
P22612,0.67,0.459216,0.3094,0.425549
P22694,0.81,0.729606,0.5104,0.552931
P23443,0.25,0.011672,0.0735,0.113431
P24723,0.3,0.013974,0.1021,0.137374
P24941,0.3,0.01334,0.1144,0.128888
P25092,0.21,0.0,0.0,0.000000
P25098,0.19,0.0,0.0,0.000000
P25440,0.2,0.010516,0.0453,0.093482
P27361,0.49,0.099381,0.1307,0.173321
P27448,0.19,0.011677,0.0647,0.091012
P28482,0.34,0.023687,0.1971,0.259023
P30291,0.36,0.186189,0.1405,0.189257
P31152,0.44,0.368343,0.2645,0.377830
P31749,0.25,0.0,0.0,0.000000
P31751,0.14,0.0,0.0,0.000000
P32298,0.48,0.06293,0.1322,0.177816
P33981,0.2,0.0,0.0083,0.016667
P34947,0.19,0.0,0.0,0.000000
P35626,0.22,0.0,0.0,0.000000
P36507,0.26,0.0,0.0435,0.072008
P41279,0.12,0.0,0.0,0.000000
P41743,0.25,0.0,0.0,0.000000
P42345,0.29,NA,NA,NA
P43250,0.63,0.46039,0.332,0.467507
P45983,0.54,0.291922,0.2806,0.396946
P45984,0.58,0.403986,0.3202,0.422561
P45985,0.21,0.0,0.0,0.000000
P46734,0.15,0.0,0.0,0.000000
P48729,0.7,0.547717,0.4415,0.579492
P48730,0.29,0.011677,0.072,0.086864
P49137,0.53,0.264841,0.2471,0.313195
P49336,0.17,0.0,0.0,0.000000
P49674,0.2,0.0,0.0042,0.008333
P49759,0.18,0.010516,0.041,0.048804
P49760,0.18,0.0,0.0,0.000000
P49761,0.49,0.309815,0.2404,0.320421
P49840,0.54,0.446978,0.2873,0.339189
P49841,0.63,0.458231,0.3233,0.378068
P49842,0.34,0.011932,0.0434,0.094921
P50613,0.21,0.0,0.0167,0.033333
P50750,0.7,0.585797,0.3803,0.437484
P51812,0.18,0.0,0.0,0.000000
P51817,0.73,0.698852,0.4862,0.571334
P51841,0.18,0.0,0.0,0.000000
P51955,0.19,0.0,0.0,0.000000
P51956,0.28,0.020764,0.1762,0.209139
P51957,0.18,0.0,0.0083,0.016667
P52564,0.22,0.0,0.0,0.000000
P53004,0.29,0.01446,0.1151,0.125568
P53350,0.24,0.0,0.0,0.000000
P53355,0.39,0.06939,0.0957,0.174868
P53778,0.27,0.0,0.0241,0.048723
P53779,0.28,0.022603,0.1725,0.210047
P54646,0.18,0.010516,0.0564,0.059278
P57058,0.24,0.0,0.0,0.000000
P57059,0.19,0.0,0.0,0.000000
P68400,0.28,0.0,0.0241,0.055519
P78362,0.18,0.0,0.0,0.000000
P78368,0.53,0.410733,0.2781,0.316496
P78527,0.31,0.0,0.0,0.000000
Q00526,0.25,0.0,0.0042,0.008333
Q00532,0.18,0.0,0.0,0.000000
Q00534,0.21,0.0,0.0042,0.000000
Q00535,0.16,0.0,0.0,0.000000
Q00536,0.18,0.0,0.0,0.000000
Q00537,0.17,0.0,0.0,0.000000
Q02156,0.3,0.014997,0.0647,0.141324
Q02750,0.29,0.01334,0.0863,0.092610
Q02846,0.18,0.0,0.0,0.000000
Q04759,0.18,0.010959,0.0455,0.088852
Q05513,0.38,0.053694,0.1687,0.204355
Q05655,0.32,0.016557,0.1099,0.172860
Q05823,0.18,0.0,0.0,0.000000
Q07002,0.14,0.0,0.0,0.000000
Q09013,0.38,0.016048,0.1334,0.167416
Q12851,0.17,0.01304,0.0489,0.098883
Q12979,0.16,0.0,0.0,0.000000
Q13043,0.14,0.0,0.0,0.000000
Q13131,0.19,0.012749,0.0558,0.124670
Q13153,0.18,0.0,0.0,0.000000
Q13163,0.2,0.0,0.0,0.000000
Q13164,0.16,0.0,0.0,0.000000
Q13177,0.2,0.0,0.0,0.000000
Q13188,0.15,0.0,0.0,0.000000
Q13233,0.21,0.0,0.0,0.000000
Q13237,0.28,0.015385,0.0799,0.099608
Q13263,0.14,0.0,0.0,0.000000
Q13315,0.3,0.0,0.0125,0.025000
Q13464,0.2,0.0,0.0,0.000000
Q13523,0.18,0.0,0.0,0.000000
Q13535,0.26,0.0,0.0,0.000000
Q13554,0.18,0.0,0.0349,0.047960
Q13555,0.21,0.0,0.0264,0.052778
Q13557,0.21,0.010516,0.0306,0.062783
Q13627,0.42,0.536936,0.4184,0.494591
Q13976,0.15,0.0,0.0,0.000000
Q14004,0.22,0.0,0.0,0.000000
Q14012,0.18,0.0,0.0,0.000000
Q14164,0.16,0.0,0.0,0.000000
Q14296,0.47,0.437077,0.3773,0.516520
Q14680,0.16,0.0,0.0,0.000000
Q15059,0.19,0.0,0.0042,0.008333
Q15118,0.28,0.0,0.0042,0.000000
Q15119,0.33,0.0101,0.0686,0.069222
Q15120,0.58,0.323434,0.3114,0.406624
Q15131,0.48,0.084911,0.1116,0.171474
Q15139,0.18,0.0,0.0083,0.016667
